date,open,high,low,close,volume,labels
2020-08-21,256.8002,261.5002,253.4002,258.3002,33443271,1
2020-08-24,260.1002,265.2002,254.8002,261.5002,14994213,0
2020-08-25,264.6002,272.6002,257.2002,257.2002,19299443,0
2020-08-26,260.6002,260.6002,250.1367,253.0002,17847518,0
2020-08-27,243.5002,260.4002,227.5662,250.0002,84495119,0
2020-08-28,249.0002,252.2002,238.4002,241.1002,46552273,0
2020-09-01,236.5002,238.2002,206.7002,206.7002,114135380,0
2020-09-02,212.0002,221.9002,209.6002,217.6002,52272681,0
2020-09-03,219.5002,233.4002,216.5002,218.3002,50693161,0
2020-09-04,217.5002,225.2002,214.7002,217.5002,31186737,0
2020-09-07,220.0002,227.5002,211.6002,225.5002,19224820,0
2020-09-08,225.5002,228.9002,214.1002,218.9002,28528494,0
2020-09-09,216.5002,217.907,207.8002,210.7002,96503459,0
2020-09-10,211.0002,215.7002,204.7002,208.3002,32896104,0
2020-09-11,210.6002,213.2447,205.4002,210.0002,21265594,0
2020-09-14,212.9002,212.9002,204.5977,210.3002,21407189,0
2020-09-15,210.6002,212.2882,203.3002,203.3002,29027227,0
2020-09-16,203.2002,203.9002,182.6002,192.3502,76314898,0
2020-09-17,188.7002,192.5002,187.1502,189.9002,38071063,0
2020-09-18,188.3002,189.0502,176.1501,180.1502,68685748,0
2020-09-21,176.6501,177.7001,159.2501,160.7001,62393025,0
2020-09-22,162.1501,163.1501,155.7001,160.7001,57385542,0
2020-09-23,160.2001,173.0001,157.9501,162.4001,53359117,0
2020-09-24,157.9001,160.3501,150.1001,150.1001,43512508,0
2020-09-25,151.9501,171.0001,141.6001,154.7501,73495494,0
2020-09-28,154.2501,154.3001,144.2501,149.2501,44574321,0
2020-09-29,149.9501,149.9501,140.4001,140.4001,43322864,0
2020-09-30,139.4501,139.9501,129.7501,130.0001,69768690,0
2020-10-01,120.0001,129.0001,112.5501,116.8001,179219338,0
2020-10-02,114.0001,114.0001,100.8047,113.6001,93164666,0
2020-10-05,115.9001,123.4001,109.6501,123.4001,116878320,0
2020-10-06,124.7001,151.1319,120.457,150.0001,129574032,0
2020-10-07,149.2001,164.5001,143.2001,156.6501,161986434,0
2020-10-08,157.9001,201.0002,157.5501,195.3502,188852227,0
2020-10-09,195.9002,252.4002,195.5002,223.2002,218124106,0
2020-10-12,225.7002,237.3342,186.6542,194.8502,188090710,0
2020-10-13,195.0002,200.0002,177.0001,183.1002,77169118,0
2020-10-14,182.9502,186.8002,173.0001,180.0002,47783597,0
2020-10-15,183.8002,198.8702,173.1501,195.1002,50306443,0
2020-10-16,201.9002,221.9002,196.9502,221.9002,77626413,0
2020-10-19,224.1002,237.6002,212.3002,220.0002,64807181,0
2020-10-20,218.9002,231.9002,210.1002,227.0002,45853082,0
2020-10-21,225.6002,233.0002,222.0002,224.6002,38288449,0
2020-10-22,221.6002,227.8002,216.1002,226.9002,35246615,0
2020-10-23,232.0002,243.7002,227.0002,243.7002,60999690,0
2020-10-26,234.9002,241.6002,226.1002,226.1002,36248894,0
2020-10-27,226.3002,235.8002,218.6002,219.0002,52844996,0
2020-10-28,77.0,101.95,70.2035,84.54,211643203,0
2020-10-29,84.0,84.7,71.74,72.4,99090484,0
2020-10-30,70.0,74.9719,64.86,71.32,74632930,0
2020-11-02,69.42,77.26,66.5,76.56,50408754,0
2020-11-03,75.0,84.0,74.696,84.0,73734227,0
2020-11-04,79.14,86.4,78.2,83.9,73683602,0
2020-11-05,78.58,81.72,72.08,74.52,82070398,0
2020-11-06,72.92,73.2,67.32,69.56,86207070,0
2020-11-09,69.58,137.45,69.0,100.0,273517188,0
2020-11-10,104.65,128.8025,101.75,107.0,141284297,0
2020-11-11,109.0,114.45,96.76,98.42,96648953,0
2020-11-12,95.98,106.6,89.1513,90.0,149794891,0
2020-11-13,89.38,96.15,86.38,93.7,109640000,0
2020-11-16,95.78,104.4223,95.64,103.0,167541500,0
2020-11-17,104.45,105.0,97.9,102.7,87319594,0
2020-11-18,104.75,104.75,100.2,102.6,64319078,0
